Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1728835200000,62229.32000000,62712.50000000,62177.67000000,62629.10000000,666.47125000,1728838799999,41658816.85333710,149338,396.99341000,24813750.27409210,0
1728838800000,62629.11000000,62887.78000000,62410.21000000,62515.59000000,805.68447000,1728842399999,50468166.39480870,150469,360.17094000,22572769.13709660,0
1728842400000,62515.58000000,62623.12000000,62314.13000000,62414.00000000,366.44599000,1728845999999,22886928.09910540,147550,163.62856000,10219905.11226140,0
1728846000000,62414.00000000,62740.00000000,62414.00000000,62734.32000000,347.62511000,1728849599999,21765175.47479500,89730,207.80351000,13011239.60749690,0
1728849600000,62734.31000000,62762.92000000,62610.67000000,62762.91000000,264.84711000,1728853199999,16598735.70706740,81035,153.00690000,9590217.55594020,0
1728853200000,62762.92000000,63010.00000000,62679.90000000,62895.11000000,659.18256000,1728856799999,41441564.61511680,110333,368.03279000,23144631.36816730,0
1728856800000,62895.11000000,63125.00000000,62727.27000000,62837.99000000,617.63003000,1728860399999,38859864.37127550,211963,287.61351000,18098617.34986510,0
1728860400000,62838.00000000,62895.90000000,62630.00000000,62870.02000000,270.98068000,1728863999999,17005270.78599810,122433,139.12518000,8731496.38158690,0
1728864000000,62870.02000000,62898.43000000,62457.81000000,62520.18000000,498.83037000,1728867599999,31244445.00246510,141670,228.29129000,14300921.02531320,0
1728867600000,62520.19000000,62850.00000000,62510.01000000,62631.83000000,500.36381000,1728871199999,31366777.91022160,127025,265.38819000,16638108.15117190,0
1728871200000,62631.83000000,62634.17000000,62478.65000000,62614.00000000,267.08282000,1728874799999,16712620.73488180,130737,133.77553000,8371120.05904910,0
1728874800000,62614.00000000,64392.49000000,62612.00000000,64299.99000000,3936.41882000,1728878399999,251089142.19146390,436738,2453.16831000,156478643.73151760,0
1728878400000,64300.00000000,64500.00000000,64082.37000000,64137.99000000,2574.70527000,1728881999999,165571725.15762910,253327,1238.23058000,79655806.33534790,0
1728882000000,64137.99000000,64160.00000000,63778.62000000,63941.54000000,1258.11830000,1728885599999,80447368.45010730,162638,465.09213000,29735362.17776550,0
1728885600000,63941.54000000,64227.86000000,63801.89000000,64095.99000000,809.03000000,1728889199999,51819246.62470240,113144,451.38746000,28916764.99850200,0
1728889200000,64096.00000000,64686.00000000,64028.99000000,64620.87000000,1898.35413000,1728892799999,122179460.46007130,195479,1145.88637000,73759470.23968390,0
1728892800000,64620.87000000,64860.00000000,64382.72000000,64427.99000000,1331.28363000,1728896399999,85995236.53784620,186012,575.41482000,37186319.25783430,0
1728896400000,64427.99000000,64899.98000000,64340.98000000,64822.23000000,1190.87041000,1728899999999,77008819.23157880,208989,643.61511000,41615578.04857620,0
1728900000000,64822.24000000,64999.00000000,64695.79000000,64860.18000000,1212.28075000,1728903599999,78643121.33830340,207625,657.81469000,42672846.95825020,0
1728903600000,64860.18000000,65188.57000000,64800.01000000,64920.06000000,1604.40044000,1728907199999,104244298.44742000,240849,877.82931000,57046693.96878740,0
1728907200000,64920.05000000,65000.00000000,64743.00000000,64868.05000000,1400.73972000,1728910799999,90903227.05148280,206547,619.93507000,40238286.30215440,0
1728910800000,64868.06000000,65292.00000000,64660.56000000,65150.01000000,1898.59510000,1728914399999,123347515.76654310,310900,994.85075000,64637890.38480920,0
