etime,close
2010/3/15,4653
2010/3/16,4735
2010/3/17,4781
2010/3/18,4751
2010/3/19,4749
2010/3/22,4782
2010/3/23,4766
2010/3/24,4767
2010/3/25,4791
2010/3/26,4815
2010/3/29,4803
2010/3/30,4790
2010/3/31,4760
2010/4/1,4751
2010/4/2,4772
2010/4/6,4813
2010/4/7,4840
2010/4/8,4823
2010/4/9,4831
2010/4/12,4870
2010/4/13,4879
2010/4/14,4871
2010/4/15,4837
2010/4/16,4826
2010/4/19,4771
2010/4/20,4762
2010/4/21,4755
2010/4/22,4749
2010/4/23,4737
2010/4/26,4741
2010/4/27,4689
2010/4/28,4619
2010/4/29,4599
2010/4/30,4609
2010/5/4,4649
2010/5/5,4636
2010/5/6,4653
2010/5/7,4565
2010/5/10,4527
2010/5/11,4510
2010/5/12,4422
2010/5/13,4401
2010/5/14,4394
2010/5/17,4235
2010/5/18,4180
2010/5/19,4205
2010/5/20,4267
2010/5/21,4208
2010/5/24,4284
2010/5/25,4284
2010/5/26,4272
2010/5/27,4251
2010/5/28,4279
2010/5/31,4237
2010/6/1,4189
2010/6/2,4174
2010/6/3,4197
2010/6/4,4174
2010/6/7,4037
2010/6/8,4043
2010/6/9,4074
2010/6/10,4085
2010/6/11,4110
2010/6/17,4130
2010/6/18,4106
2010/6/21,4132
2010/6/22,4143
2010/6/23,4087
2010/6/24,4099
2010/6/25,4085
2010/6/28,4058
2010/6/29,4005
2010/6/30,3971
2010/7/1,3966
2010/7/2,3948
2010/7/5,3976
2010/7/6,3976
2010/7/7,3964
2010/7/8,3957
2010/7/9,3932
2010/7/12,3943
2010/7/13,3919
2010/7/14,3911
2010/7/15,3907
2010/7/16,4057
2010/7/19,4103
2010/7/20,4162
2010/7/21,4179
2010/7/22,4174
2010/7/23,4216
2010/7/26,4217
2010/7/27,4176
2010/7/28,4189
2010/7/29,4215
2010/7/30,4254
2010/8/2,4333
2010/8/3,4315
2010/8/4,4302
2010/8/5,4314
2010/8/6,4303
2010/8/9,4361
2010/8/10,4365
2010/8/11,4383
2010/8/12,4319
2010/8/13,4314
2010/8/16,4345
2010/8/17,4367
2010/8/18,4375
2010/8/19,4362
2010/8/20,4328
2010/8/23,4272
2010/8/24,4256
2010/8/25,4228
2010/8/26,4248
2010/8/27,4259
2010/8/30,4310
2010/8/31,4324
2010/9/1,4348
2010/9/2,4383
2010/9/3,4374
2010/9/6,4545
2010/9/7,4567
2010/9/8,4543
2010/9/9,4471
2010/9/10,4473
2010/9/13,4499
2010/9/14,4447
2010/9/15,4419
2010/9/16,4387
2010/9/17,4368
2010/9/20,4388
2010/9/21,4331
2010/9/27,4281
2010/9/28,4260
2010/9/29,4250
2010/9/30,4229
2010/10/8,4275
2010/10/11,4347
2010/10/12,4312
2010/10/13,4315
2010/10/14,4486
2010/10/15,4460
2010/10/18,4527
2010/10/19,4503
2010/10/20,4421
2010/10/21,4437
2010/10/22,4419
2010/10/25,4479
2010/10/26,4494
2010/10/27,4507
2010/10/28,4508
2010/10/29,4495
2010/11/1,4541
2010/11/2,4545
2010/11/3,4568
2010/11/4,4582
2010/11/5,4699
2010/11/8,4700
2010/11/9,4814
2010/11/10,4815
2010/11/11,4805
2010/11/12,4657
2010/11/15,4652
2010/11/16,4659
2010/11/17,4544
2010/11/18,4594
2010/11/19,4632
2010/11/22,4649
2010/11/23,4612
2010/11/24,4640
2010/11/25,4711
2010/11/26,4656
2010/11/29,4660
2010/11/30,4632
2010/12/1,4658
2010/12/2,4697
2010/12/3,4719
2010/12/6,4718
2010/12/7,4744
2010/12/8,4737
2010/12/9,4727
2010/12/10,4715
2010/12/13,4768
2010/12/14,4774
2010/12/15,4783
2010/12/16,4772
2010/12/17,4784
2010/12/20,4800
2010/12/21,4817
2010/12/22,4804
2010/12/23,4778
2010/12/24,4760
2010/12/27,4748
2010/12/28,4745
2010/12/29,4754
2010/12/30,4773
2010/12/31,4803
2011/1/4,4823
2011/1/5,4807
2011/1/6,4816
2011/1/7,4799
2011/1/10,4835
2011/1/11,4835
2011/1/12,4850
2011/1/13,4855
2011/1/14,4891
2011/1/17,4915
2011/1/18,4909
2011/1/19,4926
2011/1/20,4921
2011/1/21,4929
2011/1/24,4966
2011/1/25,4966
2011/1/26,4945
2011/1/27,4920
2011/1/28,4935
2011/1/31,4982
2011/2/1,5005
2011/2/9,5129
2011/2/10,5173
2011/2/11,5200
2011/2/14,5163
2011/2/15,5176
2011/2/16,5107
2011/2/17,5046
2011/2/18,5012
2011/2/21,5006
2011/2/22,5010
2011/2/23,4951
2011/2/24,4916
2011/2/25,4884
2011/2/28,4897
2011/3/1,4856
2011/3/2,4829
2011/3/3,4839
2011/3/4,4796
2011/3/7,4820
2011/3/8,4802
2011/3/9,4775
2011/3/10,4709
2011/3/11,4673
2011/3/14,4692
2011/3/15,4743
2011/3/16,4792
2011/3/17,4821
2011/3/18,4791
2011/3/21,4696
2011/3/22,4657
2011/3/23,4696
2011/3/24,4723
2011/3/25,4723
2011/3/28,4770
2011/3/29,4796
2011/3/30,4804
2011/3/31,4795
2011/4/1,4776
2011/4/6,4841
2011/4/7,4871
2011/4/8,4892
2011/4/11,4914
2011/4/12,4896
2011/4/13,4886
2011/4/14,4914
2011/4/15,4848
2011/4/18,4829
2011/4/19,4791
2011/4/20,4806
2011/4/21,4856
2011/4/22,4858
2011/4/25,4875
2011/4/26,4881
2011/4/27,4898
2011/4/28,4913
2011/4/29,4893
2011/5/3,4950
2011/5/4,4936
2011/5/5,4906
2011/5/6,4825
2011/5/9,4814
2011/5/10,4834
2011/5/11,4845
2011/5/12,4789
2011/5/13,4830
2011/5/16,4835
2011/5/17,4814
2011/5/18,4825
2011/5/19,4830
2011/5/20,4824
2011/5/23,4798
2011/5/24,4796
2011/5/25,4818
2011/5/26,4830
2011/5/27,4828
2011/5/30,4870
2011/5/31,4873
2011/6/1,4874
2011/6/2,4850
2011/6/3,4865
2011/6/7,4854
2011/6/8,4862
2011/6/9,4859
2011/6/10,4856
2011/6/13,4811
2011/6/14,4809
2011/6/15,4810
2011/6/16,4782
2011/6/17,4747
2011/6/20,4704
2011/6/21,4698
2011/6/22,4701
2011/6/23,4718
2011/6/24,4731
2011/6/27,4719
2011/6/28,4705
2011/6/29,4719
2011/6/30,4744
2011/7/1,4733
2011/7/4,4776
2011/7/5,4795
2011/7/6,4801
2011/7/7,4807
2011/7/8,4816
2011/7/11,4838
2011/7/12,4853
2011/7/13,4881
2011/7/14,4877
2011/7/15,4868
2011/7/18,4908
2011/7/19,4903
2011/7/20,4924
2011/7/21,4914
2011/7/22,4925
2011/7/25,4900
2011/7/26,4891
2011/7/27,4915
2011/7/28,4913
2011/7/29,4933
2011/8/1,4967
2011/8/2,4976
2011/8/3,4990
2011/8/4,4981
2011/8/5,4834
2011/8/8,4783
2011/8/9,4710
2011/8/10,4788
2011/8/11,4784
2011/8/12,4815
2011/8/15,4841
2011/8/16,4846
2011/8/17,4848
2011/8/18,4845
2011/8/19,4806
2011/8/22,4826
2011/8/23,4823
2011/8/24,4831
2011/8/25,4812
2011/8/26,4803
2011/8/29,4775
2011/8/30,4801
2011/8/31,4827
2011/9/1,4831
2011/9/2,4820
2011/9/5,4812
2011/9/6,4791
2011/9/7,4818
2011/9/8,4820
2011/9/9,4797
2011/9/13,4781
2011/9/14,4769
2011/9/15,4752
2011/9/16,4737
2011/9/19,4651
2011/9/20,4603
2011/9/21,4625
2011/9/22,4581
2011/9/23,4498
2011/9/26,4449
2011/9/27,4455
2011/9/28,4426
2011/9/29,4314
2011/9/30,4316
2011/10/10,4337
2011/10/11,4352
2011/10/12,4313
2011/10/13,4319
