timestamp,earth_gouzhifee_yoy,estate_invest_yoy,fdckftzwce_bangonglou_yoy,fwsgmj_bangonglou_accumyoy
2008-08-31,28.6,29.1,0.1,7.4
2008-09-30,27.2,26.5,-1.4,8.3
2008-10-31,23.6,24.6,-1.5,6.9
2008-11-30,21.1,22.7,0,7.2
2008-12-31,10.9,23.4,7.4,10.4
2009-01-31,,,,
2009-02-28,-31.2,1,17.9,17.7
2009-03-31,-23.5,4.1,27.9,13.8
2009-04-30,-23.4,4.9,20.9,8
2009-05-31,-22.5,5.8,16.6,7.4
2009-06-30,-17.6,8.3,20.4,7
2009-07-31,-17.4,9.5,24,7.8
2009-08-31,-10.3,12.5,28.9,9.3
2009-09-30,-5.9,15.4,33.3,9.9
2009-10-31,-2.4,16.6,33.1,11.1
2009-11-30,-1.7,17.8,30.5,11
2009-12-31,0.7,16.1,18.1,4.2
2010-01-31,,,,
2010-02-28,36.3,31.1,32.2,25.9
2010-03-31,56.5,35.1,43.6,25.9
2010-04-30,66,36.2,54.2,27.2
2010-05-31,89.7,38.2,53,26.8
2010-06-30,84,38.1,59.7,25.3
2010-07-31,88.2,37.2,48.4,24.4
2010-08-31,84.3,36.7,40.8,23.5
2010-09-30,83.7,36.4,36,22.8
2010-10-31,79.2,36.5,33.4,23
2010-11-30,77.9,36.5,34.1,23.2
2010-12-31,65.9,33.2,31.2,21.4
2011-01-31,,,,
2011-02-28,16.7,35.2,29.6,26.4
2011-03-31,29.3,34.1,19.1,25
2011-04-30,30.4,34.3,21,27.3
2011-05-31,21.8,34.6,26.5,29.3
2011-06-30,18.8,32.9,26.2,31.2
2011-07-31,19.6,33.6,30.9,31.9
2011-08-31,20.2,33.2,33,32
2011-09-30,18.7,32,34,32.4
2011-10-31,17.7,31.1,40.2,32.3
2011-11-30,17.3,29.9,41,33.5
2011-12-31,14.1,27.9,40.7,31.3
2012-01-31,,,,
2012-02-29,20.44,27.8,31,44.2
2012-03-31,18.6,23.5,43.4,36.9
2012-04-30,3.7,18.7,37.1,29
2012-05-31,6.7,18.5,44.7,27.6
2012-06-30,9.1,16.6,31.9,24.3
